run	Vout
1.000000000000000e+000	5.028240e+000
2.000000000000000e+000	5.030771e+000
3.000000000000000e+000	4.994747e+000
4.000000000000000e+000	5.027216e+000
5.000000000000000e+000	4.996210e+000
6.000000000000000e+000	5.034230e+000
7.000000000000000e+000	4.990174e+000
8.000000000000000e+000	4.985450e+000
9.000000000000000e+000	5.013727e+000
1.000000000000000e+001	5.000936e+000
1.100000000000000e+001	4.972976e+000
1.200000000000000e+001	4.994229e+000
1.300000000000000e+001	5.018562e+000
1.400000000000000e+001	5.001974e+000
1.500000000000000e+001	5.000269e+000
1.600000000000000e+001	5.024883e+000
1.700000000000000e+001	4.995057e+000
1.800000000000000e+001	5.027625e+000
1.900000000000000e+001	5.000959e+000
2.000000000000000e+001	4.989084e+000
2.100000000000000e+001	4.992580e+000
2.200000000000000e+001	4.998504e+000
2.300000000000000e+001	4.980086e+000
2.400000000000000e+001	4.988628e+000
2.500000000000000e+001	4.967391e+000
2.600000000000000e+001	5.003180e+000
2.700000000000000e+001	5.000144e+000
2.800000000000000e+001	4.989048e+000
2.900000000000000e+001	5.001560e+000
3.000000000000000e+001	4.959125e+000
3.100000000000000e+001	4.985762e+000
3.200000000000000e+001	4.968867e+000
3.300000000000000e+001	5.045533e+000
3.400000000000000e+001	4.999850e+000
3.500000000000000e+001	5.005149e+000
3.600000000000000e+001	4.994475e+000
3.700000000000000e+001	4.985978e+000
3.800000000000000e+001	4.986265e+000
3.900000000000000e+001	5.024460e+000
4.000000000000000e+001	4.968145e+000
4.100000000000000e+001	4.989308e+000
4.200000000000000e+001	4.993720e+000
4.300000000000000e+001	4.989439e+000
4.400000000000000e+001	5.003701e+000
4.500000000000000e+001	5.018843e+000
4.600000000000000e+001	5.023525e+000
4.700000000000000e+001	4.979720e+000
4.800000000000000e+001	5.024459e+000
4.900000000000000e+001	4.978487e+000
5.000000000000000e+001	4.990273e+000
5.100000000000000e+001	5.040065e+000
5.200000000000000e+001	5.038159e+000
5.300000000000000e+001	4.980507e+000
5.400000000000000e+001	4.982101e+000
5.500000000000000e+001	4.985920e+000
5.600000000000000e+001	5.036190e+000
5.700000000000000e+001	4.988067e+000
5.800000000000000e+001	4.999323e+000
5.900000000000000e+001	4.982954e+000
6.000000000000000e+001	5.017478e+000
6.100000000000000e+001	4.983701e+000
6.200000000000000e+001	5.014480e+000
6.300000000000000e+001	5.003664e+000
6.400000000000000e+001	4.987693e+000
6.500000000000000e+001	5.012302e+000
6.600000000000000e+001	4.959969e+000
6.700000000000000e+001	5.007286e+000
6.800000000000000e+001	4.983847e+000
6.900000000000000e+001	4.998614e+000
7.000000000000000e+001	4.989811e+000
7.100000000000000e+001	4.995155e+000
7.200000000000000e+001	4.973538e+000
7.300000000000000e+001	4.990765e+000
7.400000000000000e+001	4.965837e+000
7.500000000000000e+001	4.991431e+000
7.600000000000000e+001	5.028278e+000
7.700000000000000e+001	4.977963e+000
7.800000000000000e+001	5.019387e+000
7.900000000000000e+001	5.048347e+000
8.000000000000000e+001	4.973797e+000
8.100000000000000e+001	4.983090e+000
8.200000000000000e+001	4.989236e+000
8.300000000000000e+001	4.976979e+000
8.400000000000000e+001	4.964046e+000
8.500000000000000e+001	5.031706e+000
8.600000000000000e+001	5.031271e+000
8.700000000000000e+001	5.002521e+000
8.800000000000000e+001	5.029679e+000
8.900000000000000e+001	4.993703e+000
9.000000000000000e+001	5.007323e+000
9.100000000000000e+001	4.994555e+000
9.200000000000000e+001	5.002997e+000
9.300000000000000e+001	5.002304e+000
9.400000000000000e+001	4.995219e+000
9.500000000000000e+001	4.972935e+000
9.600000000000000e+001	5.017111e+000
9.700000000000000e+001	4.996711e+000
9.800000000000000e+001	4.976432e+000
9.900000000000000e+001	4.988218e+000
1.000000000000000e+002	4.979704e+000
1.010000000000000e+002	4.989753e+000
1.020000000000000e+002	4.997738e+000
1.030000000000000e+002	4.976526e+000
1.040000000000000e+002	5.022839e+000
1.050000000000000e+002	5.011382e+000
1.060000000000000e+002	5.007335e+000
1.070000000000000e+002	5.040771e+000
1.080000000000000e+002	5.026906e+000
1.090000000000000e+002	5.026457e+000
1.100000000000000e+002	5.017247e+000
1.110000000000000e+002	4.955837e+000
1.120000000000000e+002	4.969826e+000
1.130000000000000e+002	5.027089e+000
1.140000000000000e+002	4.989522e+000
1.150000000000000e+002	4.998806e+000
1.160000000000000e+002	5.000738e+000
1.170000000000000e+002	5.001841e+000
1.180000000000000e+002	4.998709e+000
1.190000000000000e+002	5.004790e+000
1.200000000000000e+002	4.990463e+000
1.210000000000000e+002	5.027703e+000
1.220000000000000e+002	5.017417e+000
1.230000000000000e+002	4.997288e+000
1.240000000000000e+002	5.004675e+000
1.250000000000000e+002	4.988327e+000
1.260000000000000e+002	4.979208e+000
1.270000000000000e+002	4.993588e+000
1.280000000000000e+002	5.003526e+000
1.290000000000000e+002	4.967214e+000
1.300000000000000e+002	5.014520e+000
1.310000000000000e+002	4.985235e+000
1.320000000000000e+002	4.965698e+000
1.330000000000000e+002	5.015339e+000
1.340000000000000e+002	5.012724e+000
1.350000000000000e+002	4.993371e+000
1.360000000000000e+002	5.038033e+000
1.370000000000000e+002	4.994686e+000
1.380000000000000e+002	5.008646e+000
1.390000000000000e+002	4.999862e+000
1.400000000000000e+002	5.008910e+000
